timestamp,temperature,humidity,pir,ultrasonic_distance,distance_change,entry_exit_event,occupancy_count,mq135_raw,mq135_change,gas_rise_streak,current,power,energy_wh,fan_state,light_state
2026-08-24 07:24:27,33.3,62.0,1,188.99,-61.01,NONE,0,1536.0,36.0,5,0.02,0.24,0.000333,0,0
2026-08-24 07:24:32,30.4,61.6,0,187.47,-1.52,NONE,0,1530.0,-6.0,0,0.02,0.24,0.000333,0,0
2026-08-24 07:24:37,35.0,71.0,1,170.44,-17.03,NONE,0,1540.0,10.0,3,0.0,0.0,0.0,0,0
2026-08-24 07:27:14,32.3,65.3,1,150.81,-99.19,NONE,0,1524.0,24.0,2,0.01,0.12,0.000167,0,0
2026-08-24 07:27:19,30.7,71.6,0,186.98,36.17,NONE,0,1499.0,-25.0,0,0.01,0.12,0.000167,0,0
2026-08-24 07:27:24,34.1,61.0,0,248.33,61.35,NONE,0,1493.0,-6.0,0,0.03,0.36,0.0005,0,0
2026-08-24 07:27:29,33.7,69.5,0,157.02,-91.31,NONE,0,1472.0,-21.0,0,0.0,0.0,0.0,0,0
2026-08-24 07:27:34,30.4,73.1,0,239.06,82.04,NONE,0,1438.0,-34.0,0,0.02,0.24,0.000333,0,0
2026-08-24 07:27:39,32.5,51.6,0,218.59,-20.47,NONE,0,1406.0,-32.0,0,0.02,0.24,0.000333,0,0
2026-08-24 07:27:44,30.6,77.9,0,179.04,-39.55,NONE,0,1392.0,-14.0,0,0.01,0.12,0.000167,0,0
2026-08-24 07:27:49,34.2,52.6,0,233.53,54.49,NONE,0,1382.0,-10.0,0,0.0,0.0,0.0,0,0
2026-08-24 07:27:54,31.4,59.8,0,223.82,-9.7,NONE,0,1375.0,-7.0,0,0.02,0.24,0.000333,0,0
2026-08-24 07:27:59,32.8,55.5,0,229.41,5.58,NONE,0,1365.0,-10.0,0,0.02,0.24,0.000333,0,0
2026-08-24 07:28:04,32.6,52.6,0,173.36,-56.04,NONE,0,1332.0,-33.0,0,0.02,0.24,0.000333,0,0
2026-08-24 07:28:09,32.9,75.4,0,161.32,-12.05,NONE,0,1293.0,-39.0,0,0.01,0.12,0.000167,0,0
2026-08-24 07:28:14,32.1,50.6,0,172.86,11.54,NONE,0,1269.0,-24.0,0,0.02,0.24,0.000333,0,0
2026-08-24 07:28:19,33.4,57.6,0,165.01,-7.85,NONE,0,1256.0,-13.0,0,0.02,0.24,0.000333,0,0
2026-08-24 07:28:24,31.5,67.3,0,161.69,-3.32,NONE,0,1286.0,30.0,5,0.01,0.12,0.000167,0,0
2026-08-24 07:57:27,34.6,75.0,1,241.51,-8.49,NONE,0,1487.0,-13.0,0,0.03,0.36,0.0005,0,0
2026-08-24 07:57:32,34.6,50.5,0,209.9,-31.61,NONE,0,1480.0,-7.0,0,0.01,0.12,0.000167,0,0
2026-08-24 07:57:37,32.3,55.2,0,194.82,-15.08,NONE,0,1452.0,-28.0,0,0.01,0.12,0.000167,0,0
2026-08-24 07:57:42,33.9,52.3,1,44.21,-150.61,ENTER,1,1485.0,33.0,3,0.81,9.72,0.0135,1,0
2026-08-24 07:57:47,32.9,73.3,0,151.41,107.2,NONE,1,1477.0,-8.0,0,0.72,8.64,0.012,1,0
2026-08-24 07:57:53,31.0,58.0,0,215.38,63.96,NONE,1,1499.0,22.0,2,0.63,7.56,0.0105,1,0
2026-08-24 07:57:58,33.8,57.6,0,220.8,5.43,NONE,1,1467.0,-32.0,0,0.7,8.4,0.011667,1,0
2026-08-24 07:58:03,31.2,74.7,0,198.67,-22.13,NONE,1,1452.0,-15.0,0,0.6,7.2,0.01,1,0
2026-08-24 07:58:08,32.9,52.4,0,178.12,-20.55,NONE,1,1425.0,-27.0,0,0.74,8.88,0.012333,1,0
2026-08-24 07:58:13,31.1,61.7,1,232.85,54.73,NONE,1,1455.0,30.0,4,0.51,6.12,0.0085,1,0
2026-08-24 07:58:18,31.2,58.7,0,225.21,-7.65,NONE,1,1472.0,17.0,4,0.5,6.0,0.008333,1,0
2026-08-24 07:58:23,33.5,72.0,1,200.93,-24.28,NONE,1,1499.0,27.0,1,0.46,5.52,0.007667,1,0
