current,power,occupancy_count,fan_state,light_state,energy_status
0.645,7.701,1,1,0,NORMAL
1.067,12.765,0,1,1,WASTAGE
0.031,0.278,1,0,0,LOW
0.0,0.03,1,0,0,LOW
0.75,8.957,0,1,1,WASTAGE
0.44,5.28,1,1,0,NORMAL
0.023,0.314,1,0,0,LOW
0.043,0.421,0,0,0,NORMAL
0.022,0.323,1,0,0,LOW
0.782,9.269,1,1,1,NORMAL
0.72,8.65,1,1,1,NORMAL
0.286,3.527,0,0,1,WASTAGE
0.0,0.082,1,0,0,LOW
0.644,7.668,1,1,0,NORMAL
0.42,5.058,1,1,0,NORMAL
0.437,5.182,1,1,0,NORMAL
0.032,0.328,1,0,0,LOW
0.035,0.416,0,0,0,NORMAL
0.967,11.64,1,1,1,NORMAL
0.447,5.372,1,1,0,NORMAL
0.576,6.996,1,1,0,NORMAL
0.596,7.167,1,1,1,NORMAL
0.7,8.359,0,1,0,WASTAGE
0.008,0.143,1,0,0,LOW
0.679,8.137,1,1,1,NORMAL
0.675,8.059,1,1,1,NORMAL
0.495,6.012,0,0,1,WASTAGE
0.452,5.438,1,1,0,NORMAL
0.572,6.787,0,0,1,WASTAGE
0.023,0.334,1,0,0,LOW
0.819,9.733,1,1,1,NORMAL
0.75,9.028,1,1,1,NORMAL
0.899,10.743,0,1,1,WASTAGE
0.021,0.291,0,0,0,NORMAL
0.641,7.726,0,1,1,WASTAGE
0.367,4.296,0,0,1,WASTAGE
0.497,5.985,0,0,1,WASTAGE
0.0,0.054,1,0,0,LOW
0.333,3.861,0,0,1,WASTAGE
0.005,0.017,1,0,0,LOW
0.822,9.853,1,1,1,NORMAL
0.43,5.22,0,0,1,WASTAGE
0.027,0.394,0,0,0,NORMAL
0.43,5.174,1,1,0,NORMAL
0.653,7.891,1,1,0,NORMAL
0.337,4.007,0,0,1,WASTAGE
1.058,12.716,0,1,1,WASTAGE
0.032,0.346,1,0,0,LOW
0.008,0.139,1,0,0,LOW
0.009,0.138,0,0,0,NORMAL
0.014,0.16,1,0,0,LOW
0.883,10.535,0,1,1,WASTAGE
0.972,11.66,1,1,1,NORMAL
0.694,8.282,0,1,0,WASTAGE
0.021,0.332,1,0,0,LOW
0.284,3.434,0,0,1,WASTAGE
0.488,5.876,0,0,1,WASTAGE
0.56,6.72,1,1,0,NORMAL
0.75,8.991,0,1,0,WASTAGE
0.804,9.746,1,1,1,NORMAL
0.04,0.402,0,0,0,NORMAL
0.298,3.603,0,0,1,WASTAGE
0.429,5.185,0,0,1,WASTAGE
0.56,6.673,0,1,0,WASTAGE
0.547,6.681,0,0,1,WASTAGE
0.701,8.369,0,1,1,WASTAGE
0.654,7.921,1,1,0,NORMAL
0.601,7.234,0,1,0,WASTAGE
0.604,7.31,0,1,0,WASTAGE
0.951,11.425,1,1,1,NORMAL
0.575,6.876,0,1,0,WASTAGE
0.009,0.098,1,0,0,LOW
0.612,7.355,0,1,0,WASTAGE
0.023,0.258,1,0,0,LOW
0.885,10.67,0,1,1,WASTAGE
0.43,5.16,1,1,0,NORMAL
0.429,5.211,1,1,0,NORMAL
0.029,0.291,1,0,0,LOW
0.017,0.222,0,0,0,NORMAL
0.03,0.365,1,0,0,LOW
0.753,8.959,0,1,0,WASTAGE
0.018,0.179,0,0,0,NORMAL
0.809,9.602,1,1,1,NORMAL
0.71,8.445,1,1,1,NORMAL
0.598,7.197,1,1,0,NORMAL
0.751,8.916,0,1,0,WASTAGE
0.452,5.411,1,1,0,NORMAL
0.443,5.321,0,0,1,WASTAGE
0.987,11.876,1,1,1,NORMAL
0.034,0.287,1,0,0,LOW
0.541,6.419,0,1,0,WASTAGE
0.629,7.556,0,1,0,WASTAGE
0.532,6.395,0,1,0,WASTAGE
0.527,6.337,1,1,0,NORMAL
0.62,7.498,0,1,0,WASTAGE
0.805,9.559,0,1,1,WASTAGE
0.453,5.443,1,1,0,NORMAL
0.008,0.064,0,0,0,NORMAL
0.001,0.109,0,0,0,NORMAL
0.296,3.583,0,0,1,WASTAGE
0.725,8.626,1,1,1,NORMAL
0.534,6.419,0,1,0,WASTAGE
0.445,5.394,1,1,0,NORMAL
0.72,8.675,1,1,1,NORMAL
0.02,0.342,0,0,0,NORMAL
0.416,5.046,0,0,1,WASTAGE
0.739,8.937,0,1,1,WASTAGE
0.435,5.264,1,1,0,NORMAL
0.633,7.534,0,1,0,WASTAGE
0.56,6.736,0,0,1,WASTAGE
0.748,8.992,0,1,0,WASTAGE
0.033,0.344,0,0,0,NORMAL
0.024,0.273,1,0,0,LOW
0.009,0.141,0,0,0,NORMAL
0.786,9.425,1,1,1,NORMAL
0.026,0.282,1,0,0,LOW
0.524,6.24,0,0,1,WASTAGE
0.252,3.115,0,0,1,WASTAGE
0.87,10.455,0,1,1,WASTAGE
0.323,3.933,0,0,1,WASTAGE
0.489,5.808,1,1,0,NORMAL
0.771,9.25,0,1,1,WASTAGE
0.824,9.916,1,1,1,NORMAL
0.807,9.687,1,1,1,NORMAL
