temperature,humidity,pir,ultrasonic_distance,distance_change,entry_exit_event,mq135_raw,mq135_change,gas_rise_streak,true_occupancy
24.55,65.83,0,159.14,3.54,NONE,1103.68,-11.31,1,0
28.1,48.19,1,133.43,0.65,NONE,1846.42,3.73,0,0
29.87,72.58,0,176.87,11.18,NONE,1110.44,31.3,5,1
34.88,48.51,0,177.32,6.91,NONE,1357.87,-3.76,3,0
32.84,44.98,1,184.73,25.23,NONE,1577.5,5.42,7,1
27.53,30.14,0,113.26,-5.26,EXIT,1386.63,0.91,2,0
30.21,75.71,1,324.17,10.7,NONE,992.05,6.74,0,0
31.48,60.07,0,192.25,2.61,NONE,1659.56,-1.07,8,1
26.28,64.79,0,87.47,-23.94,ENTER,1045.93,35.82,0,1
29.59,60.31,0,129.14,11.36,NONE,1417.1,-3.83,1,0
30.35,62.61,0,194.35,-0.63,NONE,865.19,1.6,9,1
31.06,68.17,0,194.59,30.62,NONE,1483.15,0.78,4,0
30.43,51.28,0,196.59,4.06,NONE,1162.19,4.22,6,1
28.54,47.6,1,205.45,14.2,NONE,1525.65,48.29,6,1
27.95,55.41,0,260.73,50.85,EXIT,1505.86,56.5,2,0
27.92,53.97,0,161.59,-8.54,NONE,1303.55,0.92,9,1
30.23,70.97,0,184.78,1.14,NONE,1170.46,12.5,4,0
27.92,54.64,0,185.99,8.9,NONE,1531.22,-18.66,3,0
28.41,52.13,1,213.44,15.42,EXIT,1470.75,-7.7,4,1
32.41,71.22,1,214.12,42.19,NONE,1283.6,10.36,5,1
25.41,80.31,0,216.13,6.35,NONE,1240.84,-5.39,8,1
23.72,83.98,0,249.25,4.11,NONE,1352.68,12.52,7,1
30.34,67.93,0,212.74,3.58,NONE,1486.66,-6.5,5,0
31.1,71.88,0,282.87,-4.24,NONE,1957.16,14.0,3,1
28.87,66.4,0,210.45,-6.91,NONE,1438.43,-20.7,0,0
31.06,76.46,0,270.29,-2.08,NONE,1195.16,-8.71,1,0
33.48,52.92,0,259.99,2.74,NONE,1474.56,-5.49,0,0
29.11,63.53,0,166.66,-44.04,ENTER,1204.03,-13.98,0,0
31.0,50.27,0,174.76,-1.61,NONE,1194.11,2.58,0,0
30.07,54.78,1,207.64,19.62,EXIT,1827.66,-28.03,4,0
30.02,66.73,0,197.41,-1.9,NONE,1149.26,19.7,1,0
25.46,65.44,1,219.51,-0.3,NONE,1564.83,18.93,3,1
20.02,70.11,0,284.53,-1.56,NONE,751.86,-9.5,3,0
30.31,58.77,0,179.75,-5.23,NONE,1679.54,-0.05,4,1
35.12,49.85,0,275.01,-0.01,NONE,1055.3,-8.83,0,0
24.93,68.2,0,174.9,-62.06,ENTER,1115.29,1.22,2,0
33.98,37.12,0,196.43,-6.49,NONE,1019.26,30.03,0,0
28.48,71.77,0,162.71,-4.38,NONE,1124.64,-14.75,4,0
22.77,69.27,0,243.27,12.36,NONE,1413.73,7.04,3,0
31.69,46.54,0,226.58,29.61,NONE,1625.79,45.79,9,1
33.57,59.3,1,210.43,-6.43,NONE,1490.66,33.76,3,1
28.62,61.58,0,223.97,-6.15,NONE,1229.49,9.98,0,0
27.19,69.6,1,174.55,3.37,NONE,1633.52,9.72,6,1
18.88,77.58,0,244.56,3.58,NONE,1743.98,36.98,5,1
27.22,79.44,1,233.09,-2.42,NONE,1128.6,12.02,1,1
28.4,54.09,0,180.11,4.14,NONE,1611.62,18.88,4,1
38.43,73.25,0,126.97,1.15,NONE,1509.3,14.92,1,0
29.9,56.13,0,238.93,11.99,NONE,1386.3,28.25,0,1
28.62,52.27,1,242.48,-22.35,NONE,1230.38,13.35,5,1
24.89,55.29,1,221.94,-69.58,NONE,1975.66,-3.27,2,1
29.97,48.6,0,275.06,1.6,NONE,1218.14,7.16,1,0
28.35,45.9,0,150.43,-9.75,NONE,1486.42,18.19,3,1
25.13,61.43,0,186.59,-10.16,NONE,1214.79,-0.54,0,0
24.75,65.31,0,262.25,-7.4,ENTER,1415.46,-3.75,3,0
29.79,58.16,1,157.71,53.4,EXIT,1781.88,34.55,0,0
28.56,43.26,0,198.68,1.14,NONE,1198.69,13.71,0,0
28.9,76.07,0,160.56,61.64,EXIT,1474.93,-34.68,0,0
27.96,76.8,1,249.94,-12.43,NONE,1476.54,19.65,1,0
28.85,70.79,0,55.59,3.85,NONE,1390.06,12.71,1,0
28.88,86.04,0,201.12,0.36,NONE,1518.49,22.02,8,1
27.95,55.91,0,192.63,7.49,NONE,1435.03,-28.6,4,1
35.57,74.12,0,237.68,29.66,NONE,889.97,42.64,0,0
27.99,66.71,0,217.77,-0.52,NONE,1155.51,-24.63,0,0
28.1,54.78,1,217.74,53.65,NONE,1614.3,20.34,6,1
